TABLE_NAME,COLUMN_NAME
account,id
account,password
account,user_name
account,user_role
account,instructor_id
asiin_assessment_tool,clo_id
asiin_assessment_tool,course_id
asiin_assessment_tool,assessment_id
asiin_assessment_tool,percentage
asiin_clo,id
asiin_clo,description
asiin_closlo,clo_id
asiin_closlo,slo_id
asiin_closlo,percentage
asiin_closlo,level
assessment,id
assessment,type
assessment,type_vn
assessment_tool,assessment_id
assessment_tool,course_id
assessment_tool,loutcome_id
assessment_tool,precentage
book,id
book,author
book,title
book,version
book,publisher
book,year
book,ISBN
book,type
class,id
class,course_id
class,group_theory
class,group_lab
class,num_students
class,instructor_id
class,semester
class,academic_year
class_assessment,assessment_id
class_assessment,class_id
class_assessment,learning_outcome_id
class_assessment,precentage
class_assessment_course,class_id
class_assessment_course,assessment_id
class_assessment_course,percentage
class_session,id
class_session,course_id
class_session,semester
class_session,academic_year
class_session,group_theory
class_slo_clo,class_id
class_slo_clo,clo_id
class_slo_clo,slo_id
class_slo_clo,percentage
clo_asiin,id
clo_asiin,description
clo_slo,slo_id
clo_slo,lo_id
clo_slo,percentage
clo_slo,level
course,id
course,course_level_id
course,name
course,name_vn
course,credit_theory
course,credit_lab
course,description
course_assessment,assessment_id
course_assessment,course_id
course_assessment,percentage
course_assessment_asiin,assessment_id
course_assessment_asiin,course_id
course_assessment_asiin,percentage
course_book,book_id
course_book,course_id
course_book,type
course_course_relationship,course_id1
course_course_relationship,course_id2
course_course_relationship,relationship_id
course_department,course_id
course_department,department_id
course_instructor,course_id
course_instructor,instructor_id
course_level,id
course_level,level
course_pathway,program_id
course_pathway,pathway_id
course_pathway,course_id
course_pathway,semester
course_pathway,year
course_program,course_id
course_program,program_id
course_program,course_code
course_program,course_type_id
course_relationship,id
course_relationship,relationship
course_type,id
course_type,type
course_type,type_vn
curriculum_4years_template,year
curriculum_4years_template,semester
curriculum_4years_template,course_code
curriculum_4years_template,"Course Name"
curriculum_4years_template,Credit
curriculum_4years_template,Program
curriculum_8semesters_template,Semester
curriculum_8semesters_template,course_code
curriculum_8semesters_template,"Course Name"
curriculum_8semesters_template,Credit
curriculum_8semesters_template,Program
curriculum_cs_4year_it_subject_only,course_code
curriculum_cs_4year_it_subject_only,"Course Name"
curriculum_cs_4year_it_subject_only,credit_theory
curriculum_cs_4year_it_subject_only,credit_lab
curriculum_cs_4year_it_subject_only,Program
curriculum_cs_4year_it_subject_only,year
curriculum_cs_4year_it_subject_only,semester
curriculum_cs_4year_it_subject_only,degree
curriculum_cs_4year_it_subject_only,name
curriculum_cs_ae1_4years,course_code
curriculum_cs_ae1_4years,"Course Name"
curriculum_cs_ae1_4years,year
curriculum_cs_ae1_4years,semester
curriculum_cs_ae1_8semesters,Semester
curriculum_cs_ae1_8semesters,course_code
curriculum_cs_ae1_8semesters,"Course Name"
curriculum_cs_ae1_8semesters,Credits
curriculum_ds_ae1_4years,course_code
curriculum_ds_ae1_4years,"Course Name"
curriculum_ds_ae1_4years,Program
curriculum_ds_ae1_4years,year
curriculum_ds_ae1_4years,semester
curriculum_ds_ae1_8semesters,Semester
curriculum_ds_ae1_8semesters,course_code
curriculum_ds_ae1_8semesters,"Course Name"
curriculum_ds_ae1_8semesters,Credits
curriculum_itce_ae1_4years,course_code
curriculum_itce_ae1_4years,"Course Name"
curriculum_itce_ae1_4years,Program
curriculum_itce_ae1_4years,year
curriculum_itce_ae1_4years,semester
curriculum_itce_ae1_8semesters,Semester
curriculum_itce_ae1_8semesters,course_code
curriculum_itce_ae1_8semesters,"Course Name"
curriculum_itce_ae1_8semesters,Credits
curriculum_itne_ae1_4years,course_code
curriculum_itne_ae1_4years,"Course Name"
curriculum_itne_ae1_4years,Program
curriculum_itne_ae1_4years,year
curriculum_itne_ae1_4years,semester
curriculum_itne_ae1_8semesters,Semester
curriculum_itne_ae1_8semesters,course_code
curriculum_itne_ae1_8semesters,"Course Name"
curriculum_itne_ae1_8semesters,Credits
department,id
department,name
department_instructor,department_id
department_instructor,instructor_id
discipline,id
discipline,name
documentary,document_id
documentary,name
documentary,id
instructor,id
instructor,name
instructor,degree
instructor,email
learning_outcome,id
learning_outcome,course_id
learning_outcome,description
learning_outcome,description_vn
major,id
major,discipline_id
major,full_name
major,short_name
migrations,id
migrations,migration
migrations,batch
pathway,id
pathway,pathway
program,id
program,name
program,duration
program,version
program,major_id
program,program_type_id
program,valid_from
program_document,program_id
program_document,document_id
program_document,id
program_type,id
program_type,type
program_type,description
slo,id
slo,description
slo,criteria
syllabus_generater,CourseID
syllabus_generater,Vietnamese
syllabus_generater,English
syllabus_generater,Lecturer
syllabus_generater,Laborator
syllabus_generater,totalCredit
syllabus_generater,description
syllabus_generater,"Course Type"
syllabus_generater,"Intructor Name"
syllabus_generater,Department
syllabus_generater,Email
topic,id
topic,name
topic,teaching_activities
topic,learning_activities
topic,topic_type_id
topic,course_id
topic_detail,id
topic_detail,topic_id
topic_detail,week
topic_detail,topic_detail
topic_type,id
topic_type,type
total_credits_by_semester_cs,Semester
total_credits_by_semester_cs,Credits
total_credits_by_semester_ds,Semester
total_credits_by_semester_ds,Credits
total_credits_by_semester_itce,Semester
total_credits_by_semester_itce,Credits
total_credits_by_semester_itne,Semester
total_credits_by_semester_itne,Credits
